Nom
Date de naissance
Date d’enregistrement,2022-02-27 15:56:29 +0100
Classification,Rythme sinusal
Symptômes,
Version du logiciel,1.52
Appareil,"Watch5,1"
Fréquence d’échantillonnage,511,242 hertz


Dérivation,Dérivation DI
Unité,µV

77,68
81,118
83,98
86,158
87,54
88,022
87,559
86,17
83,923
80,937
77,307
73,1
68,371
63,165
57,537
51,546
45,247
38,703
32,01
25,298
18,729
12,472
6,625
1,223
-3,765
-8,432
-12,866
-17,15
-21,375
-25,639
-30,025
-34,607
-39,443
-44,577
-50,088
-56,087
-62,716
-70,132
-78,44
-87,713
-97,972
-109,18
-121,268
-134,142
-147,674
-161,711
-176,115
-190,753
-205,492
-220,22
-234,815
-249,151
-263,086
-276,481
-289,2
-301,102
-312,067
-322,004
-330,864
-338,633
-345,329
-350,993
-355,668
-359,422
-362,348
-364,535
-366,052
-366,95
-367,27
-367,05
-366,344
-365,254
-363,899
-362,394
-360,857
-359,377
-358,019
-356,866
-356,003
-355,472
-355,293
-355,472
-355,991
-356,928
-358,44
-360,552
-363,187
-366,077
-368,68
-370,505
-371,207
-370,28
-367,21
-361,916
-354,536
-345,818
-337,335
-330,377
-325,89
-324,951
-328,088
-334,764
-344,064
-353,927
-360,589
-360,655
-350,987
-327,835
-289,936
-239,284
-177,571
-107,883
-32,761
50,658
142,294
235,594
320,787
380,97
399,338
371,076
297,755
186,989
55,9
-80,885
-207,153
-302,968
-360,612
-380,106
-371,182
-354,31
-341,255
-336,261
-337,408
-336,052
-330,07
-321,737
-313,424
-309,004
-309,062
-311,535
-315,218
-318,628
-320,141
-319,296
-315,894
-309,91
-302,029
-292,994
-283,315
-273,615
-264,57
-256,55
-249,786
-244,42
-240,379
-237,613
-236,112
-235,778
-236,481
-238,111
-240,561
-243,725
-247,519
-251,827
-256,509
-261,455
-266,575
-271,79
-277,031
-282,206
-287,198
-291,893
-296,193
-300,026
-303,349
-306,137
-308,379
-310,083
-311,272
-311,979
-312,244
-312,096
-311,554
-310,634
-309,351
-307,738
-305,847
-303,734
-301,463
-299,083
-296,627
-294,122
-291,585
-289,024
-286,44
-283,827
-281,173
-278,474
-275,729
-272,941
-270,117
-267,255
-264,347
-261,382
-258,343
-255,223
-252,017
-248,725
-245,352
-241,904
-238,393
-234,832
-231,242
-227,637
-224,031
-220,436
-216,861
-213,318
-209,818
-206,374
-202,998
-199,701
-196,493
-193,382
-190,378
-187,486
-184,713
-182,063
-179,537
-177,139
-174,872
-172,738
-170,739
-168,878
-167,156
-165,572
-164,129
-162,825
-161,66
-160,632
-159,74
-158,981
-158,351
-157,848
-157,467
-157,203
-157,052
-157,009
-157,067
-157,221
-157,466
-157,796
-158,205
-158,688
-159,238
-159,849
-160,517
-161,235
-161,998
-162,799
-163,632
-164,492
-165,373
-166,269
-167,174
-168,084
-168,991
-169,89
-170,775
-171,639
-172,477
-173,281
-174,047
-174,767
-175,436
-176,048
-176,597
-177,079
-177,488
-177,82
-178,071
-178,236
-178,311
-178,292
-178,176
-177,959
-177,639
-177,212
-176,677
-176,03
-175,271
-174,399
-173,412
-172,31
-171,094
-169,764
-168,321
-166,765
-165,1
-163,328
-161,452
-159,476
-157,405
-155,244
-152,998
-150,673
-148,276
-145,812
-143,289
-140,713
-138,089
-135,426
-132,729
-130,004
-127,258
-124,498
-121,728
-118,955
-116,184
-113,422
-110,673
-107,942
-105,234
-102,553
-99,903
-97,288
-94,711
-92,176
-89,685
-87,242
-84,847
-82,502
-80,21
-77,969
-75,78
-73,642
-71,554
-69,514
-67,52
-65,57
-63,661
-61,792
-59,96
-58,162
-56,396
-54,66
-52,953
-51,273
-49,617
-47,986
-46,377
-44,79
-43,224
-41,679
-40,154
-38,649
-37,165
-35,7
-34,254
-32,829
-31,422
-30,034
-28,665
-27,315
-25,984
-24,672
-23,38
-22,111
-20,865
-19,643
-18,449
-17,283
-16,148
-15,047
-13,98
-12,949
-11,956
-11,001
-10,084
-9,203
-8,358
-7,546
-6,766
-6,014
-5,287
-4,582
-3,896
-3,228
-2,573
-1,929
-1,292
-0,657
-0,019
0,626
1,283
1,955
2,649
3,37
4,124
4,913
5,741
6,616
7,545
8,541
9,613
10,763
11,991
13,296
14,672
16,112
17,6
19,115
20,636
22,145
23,629
25,086
26,508
27,882
29,193
30,422
31,561
32,622
33,619
34,571
35,51
36,475
37,52
38,723
40,151
41,848
43,848
46,158
48,793
51,781
55,146
58,91
63,07
67,593
72,434
77,547
82,862
88,288
93,718
98,998
104,004
108,649
112,863
116,601
119,807
122,389
124,244
125,291
125,478
124,798
123,264
120,861
117,596
113,5
108,627
103,099
96,992
90,252
82,89
75,033
66,955
59,194
52,331
46,772
42,948
41,415
42,423
45,848
51,1
56,806
61,509
64,188
63,836
59,498
50,917
38,702
24,582
11,748
3,566
3,05
13,503
38,113
79,543
137,347
207,404
284,871
364,12
444,829
531,752
622,156
709,979
781,733
813,349
794,166
721,076
596,932
444,853
284,948
137,83
29,897
-31,902
-49,146
-31,945
-4,4
19,996
36,324
44,62
53,521
65,856
79,237
91,249
97,654
97,378
92,52
84,974
76,995
70,462
65,949
63,614
63,336
64,553
66,659
69,119
71,31
72,618
72,76
71,698
69,539
66,563
63,028
59,134
55,124
51,27
47,787
44,842
42,573
41,033
40,268
40,335
41,25
43,003
45,556
48,825
52,703
57,084
61,845
66,839
71,923
76,933
81,714
86,147
90,125
93,562
96,393
98,555
100,005
100,742
100,789
100,195
99,046
97,423
95,418
93,155
90,738
88,276
85,868
83,57
81,421
79,476
77,781
76,393
75,377
74,762
74,551
74,737
75,278
76,127
77,234
78,535
79,981
81,548
83,215
84,999
86,942
89,056
91,348
93,811
96,4
99,09
101,874
104,752
107,754
110,929
114,311
117,93
121,803
125,905
130,209
134,653
139,142
143,593
147,921
152,058
155,981
159,669
163,084
166,184
168,901
171,143
172,839
173,935
174,387
174,18
173,313
171,81
169,729
167,147
164,152
160,813
157,169
153,247
149,08
144,711
140,2
135,619
131,027
126,47
121,993
117,628
113,401
109,323
105,377
101,528
97,727
93,943
90,164
86,389
82,617
78,846
75,068
71,273
67,463
63,643
59,814
55,978
52,137
48,301
44,491
40,74
37,082
33,543
30,141
26,887
23,79
20,856
18,091
15,496
13,064
10,792
8,678
6,721
4,921
3,275
1,776
0,417
-0,813
-1,919
-2,909
-3,788
-4,562
-5,238
-5,82
-6,311
-6,713
-7,031
-7,27
-7,435
-7,532
-7,57
-7,552
-7,487
-7,38
-7,238
-7,065
-6,868
-6,648
-6,41
-6,157
-5,891
-5,614
-5,329
-5,037
-4,74
-4,439
-4,137
-3,835
-3,533
-3,234
-2,938
-2,647
-2,362
-2,083
-1,812
-1,549
-1,296
-1,051
-0,815
-0,587
-0,366
-0,149
0,064
0,278
0,494
0,714
0,942
1,178
1,425
1,682
1,952
2,234
2,528
2,834
3,153
3,482
3,822
4,172
4,53
4,895
5,266
5,641
6,02
6,4
6,781
7,161
7,541
7,918
8,291
8,658
9,017
9,365
9,698
10,013
10,307
10,575
10,815
11,023
11,196
11,334
11,433
11,494
11,516
11,501
11,449
11,362
11,242
11,093
10,917
10,719
10,501
10,268
10,025
9,778
9,532
9,295
9,072
8,87
8,695
8,553
8,454
8,404
8,409
8,476
8,616
8,838
9,16
9,59
10,134
10,794
11,57
12,457
13,451
14,537
15,696
16,911
18,166
19,452
20,767
22,104
23,45
24,791
26,102
27,371
28,599
29,79
30,951
32,102
33,272
34,506
35,874
37,421
39,179
41,168
43,382
45,819
48,482
51,37
54,49
57,843
61,406
65,155
69,066
73,08
77,126
81,106
84,881
88,35
91,444
94,104
96,303
98,025
99,234
99,911
100,028
99,523
98,35
96,469
93,837
90,477
86,424
81,713
76,434
70,636
64,328
57,569
50,336
42,529
34,2
25,466
16,569
8,033
0,359
-6,089
-10,76
-13,119
-13,093
-10,811
-6,927
-2,787
0,515
2,116
0,896
-3,869
-11,889
-22,373
-33,485
-41,976
-44,822
-39,133
-21,229
10,708
55,152
110,272
173,232
242,434
321,919
413,614
512,554
607,924
680,184
709,635
687,862
615,394
503,938
374,341
245,333
135,237
56,522
9,619
-10,952
-17,673
-22,694
-29,652
-37,316
-40,504
-35,474
-24,217
-11,176
-0,874
4,409
4,977
2,088
-2,855
-8,853
-14,769
-19,264
-21,611
-21,619
-19,526
-15,915
-11,313
-6,168
-1,063
3,409
6,918
9,346
10,752
11,32
11,183
10,446
9,251
7,747
6,059
4,278
2,477
0,715
-0,925
-2,345
-3,474
-4,27
-4,713
-4,807
-4,56
-3,989
-3,121
-1,999
-0,662
0,854
2,511
4,281
6,127
8,007
9,881
11,707
13,455
15,109
16,66
18,106
19,449
20,695
21,856
22,951
23,998
25,012
26,003
26,968
27,915
28,852
29,786
30,725
31,672
32,621
33,58
34,559
35,572
36,631
37,738
38,884
40,063
41,27
42,506
43,787
45,118
46,496
47,924
49,411
50,967
52,612
54,339
56,112
57,901
59,671
61,403
63,093
64,73
66,299
67,78
69,144
70,373
71,461
72,385
73,113
73,611
73,832
73,765
73,441
72,881
72,104
71,121
69,925
68,521
66,925
65,147
63,196
61,077
58,784
56,33
53,746
51,059
48,308
45,506
42,631
39,676
36,637
33,514
30,318
27,052
23,71
20,297
16,829
13,321
9,793
6,254
2,702
-0,862
-4,441
-8,025
-11,593
-15,129
-18,621
-22,055
-25,422
-28,71
-31,902
-34,99
-37,973
-40,849
-43,619
-46,28
-48,826
-51,253
-53,559
-55,744
-57,809
-59,756
-61,586
-63,301
-64,905
-66,404
-67,802
-69,106
-70,317
-71,441
-72,483
-73,446
-74,338
-75,165
-75,931
-76,641
-77,303
-77,923
-78,506
-79,058
-79,585
-80,092
-80,583
-81,065
-81,541
-82,016
-82,492
-82,973
-83,462
-83,96
-84,469
-84,992
-85,529
-86,081
-86,649
-87,233
-87,832
-88,445
-89,072
-89,711
-90,358
-91,011
-91,669
-92,326
-92,981
-93,629
-94,267
-94,892
-95,5
-96,088
-96,652
-97,19
-97,697
-98,172
-98,611
-99,011
-99,371
-99,688
-99,962
-100,191
-100,375
-100,515
-100,609
-100,658
-100,663
-100,624
-100,541
-100,415
-100,246
-100,035
-99,784
-99,494
-99,167
-98,805
-98,411
-97,988
-97,538
-97,066
-96,575
-96,068
-95,547
-95,015
-94,475
-93,927
-93,372
-92,81
-92,243
-91,669
-91,092
-90,513
-89,933
-89,352
-88,772
-88,191
-87,61
-87,027
-86,441
-85,845
-85,241
-84,626
-84,005
-83,385
-82,768
-82,151
-81,533
-80,909
-80,269
-79,601
-78,882
-78,087
-77,203
-76,223
-75,147
-73,986
-72,748
-71,436
-70,063
-68,633
-67,156
-65,652
-64,131
-62,614
-61,144
-59,774
-58,58
-57,642
-57,016
-56,732
-56,812
-57,25
-58,04
-59,164
-60,571
-62,208
-64,025
-65,966
-67,986
-70,029
-71,992
-73,744
-75,148
-76,054
-76,35
-75,958
-74,794
-72,809
-69,983
-66,324
-61,906
-56,823
-51,157
-44,992
-38,411
-31,523
-24,49
-17,522
-10,811
-4,555
1,051
5,826
9,554
12,056
13,219
12,969
11,285
8,163
3,581
-2,486
-9,997
-18,908
-29,192
-40,692
-53,176
-66,272
-79,343
-91,703
-102,76
-111,886
-118,437
-122,147
-123,111
-121,87
-119,761
-118,176
-118,165
-120,827
-127,04
-136,874
-149,615
-163,515
-175,226
-181,201
-178,457
-163,678
-134,055
-87,985
-24,749
53,193
139,655
228,443
313,102
390,644
462,719
527,789
583,392
620,274
621,305
575,987
477,062
329,711
157,776
-13,135
-153,742
-241,947
-277,373
-270,088
-240,243
-210,169
-188,775
-176,991
-170,219
-161,294
-149,524
-137,581
-128,17
-123,943
-124,546
-127,733
-131,563
-134,184
-134,276
-131,505
-125,989
-118,083
-108,486
-97,956
-87,119
-76,616
-67,037
-58,676
-51,658
-46,03
-41,696
-38,555
-36,532
-35,485
-35,265
-35,777
-36,915
-38,582
-40,695
-43,134
-45,788
-48,586
-51,449
-54,296
-57,04
-59,559
-61,738
-63,51
-64,828
-65,669
-66,031
-65,908
-65,316
-64,295
-62,89
-61,151
-59,118
-56,817
-54,27
-51,518
-48,608
-45,608
-42,589
-39,597
-36,664
-33,818
-31,073
-28,439
-25,922
-23,51
-21,186
-18,935
-16,747
-14,618
-12,546
-10,519
-8,522
-6,532
-4,524
-2,482
-0,395
1,745
3,942
6,197
8,511
10,872
13,268
15,69
18,128
20,577
23,032
25,483
27,922
30,336
32,715
35,048
37,326
39,534
41,662
43,698
45,633
47,458
49,168
50,754
52,208
53,519
54,679
55,685
56,525
57,19
57,669
57,949
58,026
57,905
57,587
57,072
56,362
55,462
54,377
53,122
51,7
50,107
48,342
46,399
44,284
42,016
39,609
37,081
34,439
31,68
28,809
25,837
22,768
19,603
16,336
12,953
9,466
5,916
2,337
-1,233
-4,767
-8,259
-11,695
-15,056
-18,325
-21,474
-24,485
-27,357
-30,07
-32,597
-34,909
-36,962
-38,751
-40,307
-41,654
-42,818
-43,819
-44,661
-45,355
-45,922
-46,373
-46,721
-46,967
-47,1
-47,118
-47,027
-46,842
-46,592
-46,286
-45,911
-45,463
-44,943
-44,356
-43,717
-43,032
-42,302
-41,538
-40,752
-39,972
-39,232
-38,569
-38,038
-37,67
-37,487
-37,514
-37,732
-38,112
-38,632
-39,244
-39,917
-40,652
-41,373
-42
-42,609
-43,222
-43,872
-44,626
-45,274
-45,581
-45,586
-45,308
-44,538
-43,187
-41,022
-37,756
-33,799
-29,6
-25,197
-20,718
-16,44
-12,493
-9,36
-7,603
-6,836
-6,642
-6,966
-7,597
-8,4
-9,366
-10,064
-10,018
-9,512
-8,824
-8,042
-7,393
-6,868
-6,38
-6,128
-6,294
-6,727
-7,307
-7,952
-8,519
-9,05
-9,61
-10,159
-10,692
-11,241
-11,813
-12,433
-13,129
-13,87
-14,632
-15,399
-16,145
-16,864
-17,555
-18,209
-18,821
-19,388
-19,898
-20,346
-20,724
-21,023
-21,241
-21,374
-21,418
-21,374
-21,239
-21,016
-20,715
-20,342
-19,901
-19,399
-18,841
-18,232
-17,586
-16,915
-16,222
-15,513
-14,789
-14,052
-13,31
-12,571
-11,844
-11,141
-10,466
-9,824
-9,22
-8,662
-8,151
-7,689
-7,266
-6,863
-6,478
-6,109
-5,756
-5,428
-5,124
-4,84
-4,571
-4,312
-4,046
-3,762
-3,458
-3,12
-2,758
-2,385
-2,002
-1,647
-1,366
-1,194
-1,174
-1,344
-1,662
-2,104
-2,814
-3,904
-5,521
-7,828
-10,744
-14,224
-18,411
-23,298
-28,455
-33,304
-37,038
-38,897
-38,848
-36,825
-32,612
-26,479
-19,291
-12,487
-8,046
-7,614
-11,755
-20,896
-35,085
-53,275
-73,539
-92,657
-106,514
-111,383
-104,155
-81,899
-42,501
13,177
81,585
158,124
236,486
314,599
394,625
473,055
545,579
602,741
625,722
606,117
540,366
429,082
291,258
144,655
8,881
-91,815
-150,923
-168,195
-153,081
-125,83
-96,47
-73,942
-60,381
-50,955
-47,675
-47,524
-48,541
-51,822
-53,593
-54,86
-57,17
-59,304
-61,751
-63,094
-61,779
-58,246
-52,963
-46,734
-40,457
-34,561
-29,427
-25,338
-22,404
-20,594
-19,742
-19,711
-20,372
-21,583
-23,218
-25,14
-27,217
-29,35
-31,443
-33,382
-35,073
-36,45
-37,465
-38,107
-38,372
-38,262
-37,794
-36,994
-35,894
-34,527
-32,924
-31,117
-29,147
-27,061
-24,909
-22,741
-20,592
-18,484
-16,433
-14,443
-12,512
-10,637
-8,804
-6,999
-5,21
-3,429
-1,65
0,131
1,921
3,73
5,565
7,433
9,342
11,293
13,291
15,336
17,428
19,564
21,742
23,957
26,204
28,482
30,788
33,119
35,472
37,843
40,229
42,624
45,023
47,419
49,805
52,173
54,515
56,822
59,085
61,295
63,443
65,521
67,52
69,431
71,246
72,958
74,557
76,037
77,389
78,607
79,685
80,614
81,391
82,009
82,465
82,753
82,87
82,814
82,583
82,174
81,587
80,822
79,88
78,762
77,471
76,01
74,384
72,598
70,658
68,571
66,344
63,985
61,502
58,903
56,197
53,394
50,501
47,529
44,487
41,383
38,229
35,032
31,804
28,553
25,29
22,023
18,762
15,516
12,295
9,106
5,959
2,862
-0,176
-3,148
-6,047
-8,864
-11,594
-14,23
-16,767
-19,2
-21,525
