Nom
Date de naissance
Date d’enregistrement,2022-02-27 15:55:20 +0100
Classification,Rythme sinusal
Symptômes,
Version du logiciel,1.52
Appareil,"Watch5,1"
Fréquence d’échantillonnage,511,242 hertz


Dérivation,Dérivation DI
Unité,µV

1070,042
1080,227
1132,085
1007,122
884,95
897,885
1000,488
1048,316
1020,845
987,055
962,567
931,691
898,396
869,887
845,227
822,298
800,041
777,693
754,041
727,784
698,343
665,571
629,915
592,248
553,245
513,527
473,95
435,351
398,222
362,808
329,057
296,728
265,677
235,77
206,811
178,605
150,968
123,763
96,919
70,384
44,081
17,914
-8,214
-34,377
-60,611
-86,929
-113,323
-139,78
-166,287
-192,807
-219,292
-245,705
-272,004
-298,177
-324,235
-350,163
-375,932
-401,5
-426,816
-451,835
-476,527
-500,852
-524,766
-548,229
-571,201
-593,661
-615,594
-636,971
-657,748
-677,859
-697,22
-715,774
-733,494
-750,379
-766,444
-781,719
-796,235
-810,044
-823,235
-835,918
-848,199
-860,185
-871,992
-883,722
-895,528
-907,658
-920,246
-933,308
-946,734
-960,185
-973,321
-985,948
-997,725
-1008,178
-1017,239
-1025,109
-1032,394
-1040,402
-1050,182
-1062,337
-1077,737
-1097,074
-1120,034
-1145,68
-1172,021
-1195,734
-1214,116
-1224,78
-1224,57
-1210,844
-1182,086
-1139,193
-1086,393
-1028,808
-971,072
-913,346
-852,451
-789,247
-726,472
-675,856
-657,506
-684,558
-765,808
-895,012
-1046,989
-1194,288
-1308,34
-1373,933
-1395,635
-1387,811
-1372,215
-1362,793
-1362,469
-1368,259
-1371,706
-1369,781
-1364,501
-1358,558
-1356,196
-1358,689
-1364,369
-1371,659
-1378,634
-1383,465
-1385,55
-1384,701
-1380,82
-1374,383
-1365,99
-1356,163
-1345,613
-1335,095
-1325,041
-1315,688
-1307,174
-1299,456
-1292,51
-1286,371
-1281
-1276,322
-1272,279
-1268,817
-1265,887
-1263,453
-1261,435
-1259,711
-1258,154
-1256,655
-1255,127
-1253,497
-1251,692
-1249,619
-1247,198
-1244,366
-1241,069
-1237,274
-1232,965
-1228,129
-1222,77
-1216,913
-1210,592
-1203,857
-1196,768
-1189,366
-1181,695
-1173,798
-1165,72
-1157,521
-1149,253
-1140,95
-1132,646
-1124,364
-1116,121
-1107,938
-1099,821
-1091,767
-1083,771
-1075,827
-1067,921
-1060,052
-1052,213
-1044,392
-1036,576
-1028,747
-1020,891
-1013,003
-1005,08
-997,119
-989,123
-981,092
-973,032
-964,955
-956,87
-948,785
-940,71
-932,651
-924,616
-916,617
-908,665
-900,773
-892,952
-885,212
-877,563
-870,017
-862,582
-855,268
-848,082
-841,031
-834,121
-827,361
-820,757
-814,317
-808,047
-801,954
-796,043
-790,318
-784,785
-779,446
-774,304
-769,359
-764,613
-760,064
-755,714
-751,559
-747,599
-743,829
-740,247
-736,849
-733,628
-730,578
-727,691
-724,961
-722,378
-719,932
-717,615
-715,415
-713,321
-711,323
-709,409
-707,568
-705,789
-704,06
-702,368
-700,704
-699,055
-697,411
-695,761
-694,094
-692,402
-690,674
-688,902
-687,079
-685,195
-683,245
-681,222
-679,119
-676,932
-674,655
-672,285
-669,819
-667,253
-664,586
-661,819
-658,95
-655,981
-652,913
-649,75
-646,495
-643,15
-639,72
-636,211
-632,628
-628,976
-625,261
-621,49
-617,67
-613,807
-609,907
-605,979
-602,028
-598,06
-594,083
-590,102
-586,123
-582,151
-578,192
-574,251
-570,333
-566,441
-562,579
-558,752
-554,961
-551,208
-547,495
-543,822
-540,19
-536,597
-533,042
-529,523
-526,037
-522,581
-519,151
-515,743
-512,351
-508,969
-505,592
-502,213
-498,825
-495,422
-491,996
-488,539
-485,045
-481,507
-477,918
-474,271
-470,558
-466,776
-462,916
-458,973
-454,942
-450,818
-446,597
-442,274
-437,846
-433,31
-428,664
-423,907
-419,038
-414,056
-408,961
-403,756
-398,441
-393,018
-387,492
-381,865
-376,142
-370,328
-364,428
-358,449
-352,398
-346,281
-340,106
-333,88
-327,612
-321,309
-314,979
-308,631
-302,271
-295,908
-289,549
-283,203
-276,875
-270,574
-264,305
-258,075
-251,889
-245,754
-239,674
-233,653
-227,697
-221,808
-215,991
-210,249
-204,584
-198,998
-193,493
-188,071
-182,732
-177,476
-172,303
-167,213
-162,205
-157,278
-152,429
-147,657
-142,961
-138,336
-133,782
-129,295
-124,874
-120,516
-116,217
-111,978
-107,794
-103,665
-99,59
-95,566
-91,593
-87,669
-83,795
-79,968
-76,188
-72,454
-68,766
-65,122
-61,523
-57,967
-54,454
-50,983
-47,553
-44,164
-40,813
-37,501
-34,224
-30,982
-27,773
-24,595
-21,446
-18,323
-15,226
-12,15
-9,093
-6,052
-3,022
0,001
3,021
6,045
9,078
12,128
15,2
18,302
21,44
24,621
27,85
31,134
34,477
37,884
41,361
44,911
48,54
52,251
56,049
59,937
63,917
67,989
72,152
76,403
80,739
85,159
89,658
94,234
98,884
103,607
108,407
113,279
118,217
123,208
128,237
133,281
138,323
143,345
148,326
153,254
158,116
162,902
167,611
172,238
176,774
181,206
185,514
189,684
193,723
197,649
201,498
205,319
209,157
213,059
217,078
221,257
225,624
230,201
234,987
239,971
245,148
250,519
256,082
261,812
267,65
273,506
279,267
284,819
290,041
294,787
298,898
302,223
304,623
306,016
306,317
305,395
303,23
299,911
295,658
290,936
286,223
281,878
278,426
276,484
276,257
277,673
280,22
282,68
284,085
283,861
281,131
275,19
266,303
255,403
244,561
237,138
235,842
243,024
261,821
294,816
343,247
405,91
478,247
554,907
632,443
710,891
790,801
868,432
934,85
976,092
980,71
945,145
874,162
780,296
674,945
569,816
475,909
398,988
347,147
321,132
312,916
316,633
322,652
325,733
328,936
332,247
335,956
339,93
340,519
336,537
329,187
319,738
310,347
303,061
298,546
296,991
298,506
302,676
308,885
316,548
324,868
332,971
340,357
346,783
352,109
356,407
359,752
362,158
363,731
364,613
364,912
364,733
364,17
363,275
362,133
360,863
359,583
358,414
357,464
356,792
356,429
356,397
356,697
357,323
358,262
359,478
360,929
362,57
364,359
366,253
368,212
370,188
372,13
373,988
375,721
377,302
378,722
379,975
381,063
381,991
382,77
383,415
383,947
384,383
384,736
385,021
385,25
385,44
385,607
385,767
385,935
386,125
386,347
386,612
386,929
387,306
387,748
388,263
388,853
389,523
390,281
391,13
392,075
393,12
394,268
395,52
396,876
398,336
399,896
401,552
403,299
405,129
407,036
409,009
411,038
413,113
415,222
417,352
419,49
421,622
423,733
425,809
427,835
429,796
431,678
433,466
435,147
436,707
438,132
439,41
440,528
441,474
442,237
442,806
443,17
443,32
443,248
442,946
442,408
441,628
440,604
439,332
437,811
436,041
434,023
431,758
429,251
426,507
423,531
420,331
416,916
413,294
409,478
405,477
401,303
396,97
392,487
387,869
383,128
378,276
373,327
368,293
363,188
358,026
352,821
347,587
342,337
337,086
331,846
326,63
321,451
316,32
311,251
306,252
301,336
296,512
291,791
287,181
282,69
278,325
274,091
269,992
266,032
262,21
258,528
254,985
251,579
248,311
245,179
242,183
239,32
236,591
233,995
231,53
229,193
226,979
224,883
222,897
221,014
219,227
217,528
215,907
214,356
212,87
211,444
210,073
208,75
207,463
206,197
204,944
203,698
202,454
201,208
199,96
198,716
197,491
196,308
195,185
194,126
193,132
192,193
191,299
190,443
189,613
188,797
187,978
187,141
186,277
185,386
184,454
183,453
182,334
181,029
179,497
177,715
175,673
173,378
170,839
168,08
165,154
162,127
159,06
156,001
152,975
149,996
147,093
144,319
141,753
139,488
137,581
136,074
135
134,378
134,22
134,499
135,133
136,016
137,056
138,192
139,39
140,628
141,866
143,048
144,103
144,959
145,57
145,892
145,877
145,478
144,659
143,43
141,867
140,06
138,081
135,977
133,769
131,473
129,123
126,752
124,388
122,053
119,758
117,526
115,396
113,408
111,595
109,957
108,451
107,031
105,665
104,332
103,025
101,735
100,443
99,139
97,831
96,526
95,236
93,96
92,682
91,387
90,063
88,709
87,34
85,968
84,598
83,234
81,878
80,533
79,206
77,893
76,583
75,265
73,927
72,563
71,172
69,755
68,309
66,834
65,328
63,79
62,223
60,627
59,002
57,347
55,661
53,946
52,203
50,438
48,654
46,856
45,05
43,239
41,431
39,632
37,846
36,082
34,345
32,641
30,976
29,36
27,803
26,323
24,931
23,636
22,442
21,352
20,362
19,469
18,662
17,918
17,219
16,545
15,881
15,22
14,553
13,866
13,141
12,357
11,503
10,583
9,614
8,612
7,605
6,63
5,744
5,03
4,565
4,414
4,624
5,233
6,278
7,805
9,856
12,465
15,643
19,372
23,617
28,332
33,455
38,899
44,533
50,188
55,693
60,901
65,681
69,896
73,396
76,013
77,603
78,059
77,294
75,238
71,818
66,971
60,663
52,932
43,841
33,426
21,82
9,253
-3,917
-17,087
-29,62
-40,995
-50,65
-57,979
-62,693
-64,839
-64,917
-64,177
-63,865
-64,903
-68,264
-74,713
-84,293
-96,307
-108,976
-119,07
-123,341
-118,941
-102,663
-71,99
-25,675
36,641
112,061
195,541
283,517
370,774
453,866
529,987
589,771
626,435
633,488
605,224
548,171
469,934
378,445
284,52
191,726
103,179
24,197
-42,314
-92,673
-124,833
-140,118
-140,948
-130,955
-114,174
-94,762
-76,777
-62,851
-54,326
-51,542
-53,788
-59,898
-68,58
-77,988
-86,214
-92,226
-95,585
-96,341
-95,03
-92,188
-88,324
-84,17
-80,425
-77,435
-75,322
-73,999
-73,228
-72,848
-72,725
-72,683
-72,563
-72,251
-71,693
-70,89
-69,867
-68,647
-67,252
-65,705
-64,068
-62,419
-60,825
-59,36
-58,09
-57,071
-56,368
-56,03
-56,073
-56,508
-57,327
-58,498
-59,989
-61,737
-63,651
-65,648
-67,638
-69,532
-71,268
-72,779
-74,004
-74,902
-75,433
-75,571
-75,315
-74,667
-73,629
-72,226
-70,489
-68,466
-66,228
-63,836
-61,341
-58,789
-56,21
-53,632
-51,081
-48,57
-46,105
-43,688
-41,318
-38,992
-36,715
-34,483
-32,286
-30,112
-27,938
-25,752
-23,547
-21,321
-19,078
-16,821
-14,558
-12,3
-10,064
-7,867
-5,723
-3,643
-1,637
0,285
2,109
3,825
5,42
6,886
8,215
9,403
10,442
11,331
12,066
12,648
13,079
13,359
13,491
13,474
13,311
13,005
12,557
11,972
11,252
10,402
9,426
8,329
7,116
5,794
4,366
2,838
1,214
-0,5
-2,299
-4,179
-6,135
-8,162
-10,258
-12,417
-14,636
-16,911
-19,241
-21,623
-24,055
-26,535
-29,061
-31,632
-34,245
-36,901
-39,598
-42,334
-45,107
-47,917
-50,762
-53,641
-56,55
-59,489
-62,454
-65,442
-68,449
-71,471
-74,503
-77,539
-80,573
-83,598
-86,607
-89,594
-92,551
-95,469
-98,341
-101,16
-103,916
-106,601
-109,207
-111,726
-114,149
-116,469
-118,678
-120,768
-122,734
-124,569
-126,267
-127,823
-129,232
-130,491
-131,597
-132,546
-133,338
-133,972
-134,448
-134,769
-134,936
-134,956
-134,832
-134,572
-134,183
-133,674
-133,054
-132,334
-131,524
-130,635
-129,679
-128,668
-127,614
-126,53
-125,428
-124,321
-123,222
-122,141
-121,091
-120,083
-119,128
-118,234
-117,41
-116,666
-116,008
-115,443
-114,976
-114,613
-114,358
-114,212
-114,179
-114,258
-114,447
-114,745
-115,148
-115,649
-116,243
-116,922
-117,678
-118,502
-119,385
-120,317
-121,288
-122,286
-123,302
-124,324
-125,341
-126,342
-127,316
-128,253
-129,141
-129,973
-130,739
-131,433
-132,048
-132,578
-133,019
-133,367
-133,62
-133,776
-133,834
-133,792
-133,65
-133,412
-133,081
-132,659
-132,151
-131,565
-130,91
-130,195
-129,433
-128,633
-127,806
-126,961
-126,108
-125,258
-124,42
-123,602
-122,811
-122,055
-121,344
-120,692
-120,114
-119,618
-119,208
-118,881
-118,634
-118,466
-118,372
-118,342
-118,364
-118,429
-118,532
-118,683
-118,89
-119,155
-119,474
-119,828
-120,199
-120,575
-120,951
-121,328
-121,705
-122,079
-122,453
-122,847
-123,289
-123,8
-124,382
-125,004
-125,628
-126,226
-126,773
-127,259
-127,671
-127,984
-128,165
-128,187
-128,027
-127,664
-127,075
-126,2
-124,968
-123,318
-121,207
-118,647
-115,673
-112,311
-108,596
-104,566
-100,269
-95,777
-91,174
-86,517
-81,858
-77,245
-72,726
-68,397
-64,365
-60,727
-57,576
-54,951
-52,864
-51,322
-50,31
-49,784
-49,686
-49,929
-50,413
-51,078
-51,871
-52,744
-53,65
-54,507
-55,227
-55,735
-55,953
-55,828
-55,346
-54,517
-53,384
-52,045
-50,597
-49,127
-47,748
-46,553
-45,626
-45,064
-44,962
-45,384
-46,427
-48,244
-50,874
-54,255
-58,178
-62,181
-65,795
-68,666
-70,334
-70,287
-68,416
-64,902
-60,35
-56,049
-53,045
-51,975
-53,73
-58,966
-67,393
-78,122
-89,182
-97,379
-100,175
-95,326
-79,806
-51,246
-8,531
47,109
111,11
178,364
245,739
313,562
383,001
450,793
508,123
541,084
538,027
495,292
418,074
319,185
209,74
101,309
4,764
-74,076
-126,178
-150,531
-155,869
-148,643
-139,001
-132,169
-124,293
-114,944
-104,303
-93,113
-85,472
-82,88
-84,255
-88,394
-93,462
-97,67
-99,97
-99,787
-96,825
-91,314
-83,887
-75,157
-65,7
-56,165
-47,117
-38,875
-31,621
-25,384
-20,065
-15,644
-12,154
-9,571
-7,843
-6,92
-6,732
-7,216
-8,329
-9,984
-12,071
-14,497
-17,173
-20,031
-23,032
-26,115
-29,2
-32,187
-34,946
-37,377
-39,416
-41,014
-42,15
-42,814
-43,001
-42,728
-42,035
-40,952
-39,506
-37,716
-35,584
-33,132
-30,397
-27,435
-24,319
-21,108
-17,838
-14,544
-11,245
-7,957
-4,694
-1,455
1,777
5,011
8,253
11,503
14,755
18,009
21,276
24,566
27,9
31,288
34,734
38,238
41,8
45,415
49,076
52,77
56,477
60,181
63,869
67,529
71,151
74,725
78,237
81,674
85,025
88,277
91,422
94,449
97,349
100,114
102,737
105,213
107,539
109,71
111,72
113,566
115,242
116,746
118,074
119,222
120,188
120,97
121,567
121,978
122,202
122,241
122,095
121,765
121,252
120,559
119,687
118,641
117,422
116,035
114,482
112,769
110,9
108,878
106,709
104,397
101,949
99,37
96,665
93,842
90,907
87,867
84,729
81,502
78,191
74,807
71,357
67,85
64,295
60,701
57,077
53,433
49,779
46,124
42,478
38,851
35,253
31,693
28,183
24,731
21,348
18,042
14,822
11,698
8,678
5,77
2,981
0,318
-2,211
-4,602
-6,849
-8,947
-10,893
-12,684
-14,317
-15,791
-17,104
-18,258
-19,252
-20,087
-20,766
-21,292
-21,666
-21,895
-21,982
-21,932
-21,752
-21,448
-21,026
-20,495
-19,862
-19,135
-18,323
-17,434
-16,476
-15,459
-14,392
-13,282
-12,139
-10,971
-9,786
-8,592
-7,396
-6,206
-5,028
-3,868
-2,732
-1,626
-0,555
0,478
1,466
2,407
3,297
4,131
4,908
5,624
6,277
6,864
7,384
7,836
8,217
8,527
8,766
8,933
9,029
9,053
9,005
8,888
8,7
8,444
8,12
7,729
7,274
6,754
6,172
5,528
4,825
4,063
3,245
2,372
1,446
0,469
-0,556
-1,627
-2,741
-3,893
-5,08
-6,298
-7,542
-8,806
-10,085
-11,373
-12,663
-13,95
-15,226
-16,486
-17,722
-18,928
-20,096
-21,22
-22,293
-23,309
-24,261
-25,144
-25,952
-26,679
-27,322
-27,875
-28,335
-28,698
-28,963
-29,128
-29,193
-29,157
-29,023
-28,792
-28,469
-28,055
-27,557
-26,977
-26,321
-25,597
-24,811
-23,972
-23,088
-22,172
-21,235
-20,288
-19,343
-18,411
-17,498
-16,612
-15,762
-14,954
-14,205
-13,527
-12,93
-12,427
-12,031
-11,75
-11,592
-11,551
-11,612
-11,761
-11,984
-12,272
-12,626
-13,04
-13,508
-14,021
-14,559
-15,103
-15,644
-16,16
-16,633
-17,046
-17,4
-17,731
-18,106
-18,589
-19,229
-20,047
-21,054
-22,29
-23,804
-25,643
-27,889
-30,575
-33,762
-37,609
-42,149
-47,29
-52,831
-58,288
-63,116
-66,949
-69,306
-69,645
-67,988
-64,683
-60,412
-56,621
-54,593
-55,191
-59,6
-68,695
-82
-98,2
-115,177
-129,573
-138,168
-137,979
-125,505
-97,761
-54,878
0,124
65,069
137,241
215,082
299,626
383,411
453,263
499,156
510,848
487,779
439,746
371,081
